source_id,active_days,total_detections,observation_span_days,recurrence_rate,detections_per_span_day,mean_gap_hours,std_gap_hours,median_gap_hours,min_gap_hours,max_gap_hours,temporal_regularity,max_active_days_7d,max_active_days_14d,max_active_days_30d,persistence_score
SOURCE_0212,3,4,2,0.42857142857143,2.0,16.0,11.313708498985,24.0,0.0,24.0,0.081210303141612,3,3,3,0.36
SOURCE_0213,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0214,2,2,1,0.28571428571429,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,0.23
SOURCE_0215,3,4,2,0.42857142857143,2.0,16.0,11.313708498985,24.0,0.0,24.0,0.081210303141612,3,3,3,0.36
SOURCE_0216,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0217,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0218,2,2,1,0.28571428571429,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,0.23
SOURCE_0219,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0220,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0221,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0222,2,13,1,0.28571428571429,13.0,2.0,6.6332495807108,0.0,0.0,24.0,0.13100580420258,2,2,2,0.4
SOURCE_0223,1,6,0,0.14285714285714,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.19
SOURCE_0224,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0225,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0226,1,3,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.14
SOURCE_0227,2,5,1,0.28571428571429,5.0,6.0,10.392304845413,0.0,0.0,24.0,0.087778549957133,2,2,2,0.27
SOURCE_0228,1,3,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.14
SOURCE_0229,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0230,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0231,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0232,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0233,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0234,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0235,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0236,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0237,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0238,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0239,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0240,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0241,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0242,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0243,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0244,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0245,1,3,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.14
SOURCE_0246,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0247,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0248,2,17,1,0.28571428571429,17.0,1.5,5.8094750193111,0.0,0.0,24.0,0.14685419906294,2,2,2,0.45
SOURCE_0249,2,2,1,0.28571428571429,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,0.23
SOURCE_0250,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0251,4,6,3,0.57142857142857,2.0,14.4,11.757550765359,24.0,0.0,24.0,0.078384951656654,4,4,4,0.49
SOURCE_0252,2,2,1,0.28571428571429,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,0.23
SOURCE_0253,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0254,5,11,4,0.71428571428571,2.75,9.6,11.757550765359,0.0,0.0,24.0,0.078384951656654,5,5,5,0.66
SOURCE_0255,3,7,2,0.42857142857143,3.5,8.0,11.313708498985,0.0,0.0,24.0,0.081210303141612,3,3,3,0.4
SOURCE_0256,3,3,2,0.42857142857143,1.5,24.0,0.0,24.0,24.0,24.0,1.0,3,3,3,0.34
SOURCE_0257,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0258,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0259,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0260,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0261,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0262,2,4,1,0.28571428571429,4.0,8.0,11.313708498985,0.0,0.0,24.0,0.081210303141612,2,2,2,0.26
SOURCE_0263,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0264,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0265,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0266,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0267,2,3,1,0.28571428571429,3.0,12.0,12.0,12.0,0.0,24.0,0.076923076923077,2,2,2,0.24
SOURCE_0268,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0269,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0270,1,3,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.14
SOURCE_0271,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0272,1,3,0,0.14285714285714,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0.14
SOURCE_0273,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0274,4,35,3,0.57142857142857,11.666666666667,2.1176470588235,6.8072828901127,0.0,0.0,24.0,0.12808553424731,4,4,4,0.92
SOURCE_0275,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0276,1,2,0,0.14285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.13
SOURCE_0277,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0278,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
SOURCE_0279,1,1,0,0.14285714285714,1.0,,,,,,0.0,1,1,1,0.12
